Feature,Importance
price,0.05094824430377554
achievements,0.049111353704085994
minimum_req_length,0.049016557214823724
release_year,0.047047932208259105
detailed_description_length,0.04509827389221032
about_game_length,0.044946033319883935
short_description_length,0.04435452748620706
recommended_req_length,0.042975765392810915
indie,0.0388651815736364
great_soundtrack,0.03334833700569888
screenshot_count,0.028366234255578455
category_count,0.027526223535438793
simulation,0.02748257146763194
singleplayer,0.02598922913177398
adventure,0.02470319539076865
puzzle,0.023246400637321037
casual,0.022902132417156995
genre_count,0.022765682527498304
action,0.022424404586817246
median_playtime,0.018867207991351373
strategy,0.018526075317292452
average_playtime,0.01832373438885199
owners_average,0.017315905255691856
rpg,0.013334448567893216
visual_novel,0.013057360953942741
story_rich,0.012810770235950536
vr,0.012460330502765337
movie_count,0.012077657913837464
anime,0.011380364972958776
mac,0.010867075046883187
pixel_graphics,0.010021738106120046
funny,0.00900629068020537
difficult,0.00895190105925784
linux,0.008893199603534201
atmospheric,0.008686617858437598
early_access,0.00858722377238268
free_to_play,0.008114842416868818
multiplayer,0.008096702014817304
has_website,0.007739873765162491
retro,0.007301853282756711
open_world,0.007062393067045101
has_support_url,0.007014854042761167
horror,0.006957566593663657
platformer,0.006555657761639969
survival,0.006448341504623988
fps,0.004153262990773771
sci_fi,0.004030973034996233
sports,0.003983141549087367
shooter,0.0036622297409227974
has_support_email,0.003654657756552608
racing,0.003495459216312471
steamspy_tag_count,0.0034714622777858545
co_op,0.0031864780628830212
developer_count,0.002865950327840167
sandbox,0.002803764705846265
space,0.002508378510800717
local_multiplayer,0.0023009086518523745
english,0.00179057934642937
local_co_op,0.0017188121473465403
controller,0.0016584029861925
publisher_count,0.0015528384809689532
zombies,0.001433560239339793
required_age,0.0010680263874769105
war,0.00103457092883453
e_sports,4.827592968455584e-05
has_header_image,0.0
has_background,0.0
windows,0.0
