tag,game_count,average_success_ratio
emotional,51,0.8796894251027423
sokoban,38,0.8777611253485283
score_attack,136,0.8685998164914963
faith,38,0.8629118147023075
touch_friendly,134,0.8564791883763199
time_manipulation,51,0.8485897542976616
1990s,169,0.8470095218946848
beautiful,135,0.8463681463726151
gamemaker,107,0.8431320362801317
multiple_endings,265,0.8382340230538072
intentionally_awkward_controls,19,0.8380151578503959
episodic,77,0.8375096101264666
skating,4,0.8366484902184699
dynamic_narration,30,0.8366075854095748
cult_classic,149,0.8358455051964367
level_editor,212,0.8352893197077134
programming,60,0.8351500479838078
romance,285,0.8351215399329581
time_travel,66,0.8344614410995673
cats,57,0.8341953363010247
foreign,4,0.8336095379516003
bullet_hell,493,0.8311232496173155
philisophical,50,0.8304172593420788
moddable,261,0.8274848633479817
voice_control,8,0.8253512298665618
cute,1061,0.8245504608735925
unforgiving,16,0.8229069252026961
co_op_campaign,43,0.8222092472312692
1980s,127,0.8210588674801652
remake,131,0.8210310575682525
sequel,16,0.8207954299907394
addictive,173,0.820212540188882
satire,63,0.8198493462971301
time_management,110,0.8198328280774513
twin_stick_shooter,270,0.8182098569244789
epic,56,0.8172317178424358
lego,26,0.8159715845334051
rogue_lite,458,0.8157115122632778
time_attack,62,0.8155783270988392
bullet_time,56,0.8146735715317188
visual_novel,1221,0.814571861327223
great_soundtrack,3141,0.8145432021530395
interactive_fiction,183,0.8142043012548373
classic,986,0.8126397387132259
artificial_intelligence,31,0.8121391456847431
local_co_op,675,0.8118808716657144
documentary,10,0.8111696445897563
bmx,6,0.8110051653732492
choices_matter,372,0.810369500474706
split_screen,123,0.8099818609105294
linear,87,0.8097030100699788
pixel_graphics,1944,0.8093295125711322
lara_croft,15,0.8084738372033232
batman,17,0.8082490248924472
4_player_local,397,0.8072011830513598
story_rich,2068,0.8070390583109028
drama,135,0.8066734982591732
local_multiplayer,748,0.8055403971487872
puzzle_platformer,556,0.8053526544038879
controller,706,0.8045814824299304
dating_sim,297,0.8045562513463191
word_game,32,0.8032228123108316
fast_paced,687,0.8022725771318555
detective,231,0.8022592199651989
shoot_em_up,726,0.8022214028779847
bowling,9,0.8021812671383308
comedy,1132,0.8014855296433071
retro,1525,0.8009768059311958
mouse_only,181,0.8003047333445759
minigames,29,0.79945185846707
cinematic,58,0.7984776582117256
based_on_a_novel,28,0.797612104665138
otome,141,0.7973758930711686
side_scroller,612,0.7973663364004446
female_protagonist,1728,0.7972439144625262
nonlinear,47,0.7961113837847408
inventory_management,37,0.7948076753465851
minimalist,444,0.7947436277822711
parody_,69,0.7944472535594375
short,597,0.7939477952640702
2d,3216,0.7936760044872323
rhythm,163,0.7936710451643206
abstract,211,0.7935017575235525
crpg,92,0.7934632642766322
cartoony,249,0.7930875558574424
ninja,97,0.7927028190338226
crowdfunded,48,0.7925840010061572
nsfw,53,0.7920915986544618
rogue_like,671,0.7919539656304002
cyberpunk,280,0.7919460290247755
anime,1991,0.7906109082741688
dark_humor,224,0.790288962762616
mod,39,0.7901237490434635
difficult,2141,0.7901194806864404
procedural_generation,372,0.7899406271116136
loot,150,0.7895397017957377
assassin,53,0.7886119179203694
mystery,677,0.7883280240994783
soundtrack,81,0.7880402558484477
funny,1663,0.7876322672568365
gothic,67,0.7876304114010946
masterpiece,279,0.7874816401928975
surreal,282,0.787321065279413
skiing,3,0.78694180809658
party_based_rpg,114,0.7862758288320729
puzzle,3224,0.786152558730272
perma_death,213,0.7860606515839359
replay_value,776,0.7856036701788371
dark_comedy,89,0.7849497983514497
lovecraftian,128,0.7849124845135323
fmv,82,0.7842815595592787
cartoon,159,0.7840216894842198
jrpg,404,0.7832293909702107
tactical_rpg,105,0.7829730807930274
logic,114,0.78296194924984
western,78,0.7824364152805555
metroidvania,268,0.7823089344111445
2.5d,134,0.7807824343648411
2d_fighter,160,0.7807200365371713
character_customization,309,0.7804462047846936
jet,2,0.7798482667995662
silent_protagonist,55,0.7795912545351359
science,102,0.7791576474771381
hand_drawn,244,0.7788431006189842
benchmark,12,0.7787466468729566
platformer,1952,0.7785811943973953
psychedelic,99,0.778420090615831
dystopian_,118,0.777399799495814
narration,99,0.7772968607279076
arcade,1507,0.7771573941998401
parkour,172,0.7766194351333952
choose_your_own_adventure,273,0.7763895992414601
old_school,208,0.7757029252789069
music_based_procedural_generation,46,0.7755695711432485
comic_book,72,0.7753614487674536
psychological,153,0.7749128010421438
3d_platformer,268,0.7748360649227806
runner,109,0.7747796071181821
movie,18,0.7744788686826358
quick_time_events,43,0.7744387038646234
dungeon_crawler,366,0.7740996595351929
stylized,269,0.7738860084169086
top_down_shooter,333,0.7736930833568978
lore_rich,53,0.7733158887087006
class_based,37,0.7732266294300721
point_&_click,1115,0.7731914094613711
mature,390,0.7730499938986268
turn_based_combat,320,0.7730364575885388
swordplay,79,0.7729416393405518
colorful,694,0.7727232448028294
dungeons_&_dragons,19,0.7727093509171661
top_down,469,0.7724319835449285
voxel,118,0.7722122246955352
snowboarding,5,0.7720144789501927
thriller,74,0.772000976370068
beat_em_up,259,0.771936684294402
typing,30,0.7716953686684289
memes,602,0.7697615620029824
family_friendly,1193,0.7696415624926047
