name,positive_ratings,negative_ratings,success_ratio
Counter-Strike: Global Offensive,2644404,402313,0.8679519627192155
Dota 2,863507,142079,0.8587102445738107
Team Fortress 2,515879,34036,0.9381067983233773
PLAYERUNKNOWN'S BATTLEGROUNDS,496184,487076,0.5046315318430526
Garry's Mod,363721,16433,0.956772781556948
Grand Theft Auto V,329061,139308,0.7025678471461604
PAYDAY 2,308657,56523,0.8452187962100882
Unturned,292574,31482,0.9028501246698102
Terraria,255600,7797,0.9703982961081561
Left 4 Dead 2,251789,8418,0.9676488334287702
Tom Clancy's Rainbow Six® Siege,251178,59620,0.8081712237530486
Rocket League®,242561,21816,0.9174814753174444
The Elder Scrolls V: Skyrim,237303,14951,0.940730374939545
Warframe,226541,20268,0.9178798179969125
Rust,220370,53709,0.8040382517449348
The Witcher® 3: Wild Hunt,202930,4798,0.9769024878687514
Euro Truck Simulator 2,176769,5825,0.9680986231749127
Paladins®,169580,32407,0.8395589815186126
ARK: Survival Evolved,145035,66603,0.6852975363592549
Borderlands 2,144595,11021,0.929178233600658
